Title,Lyrics,Title_en,Lyrics_en,removed_punct,tokens,larger_tokens,clean_tokens,lemma_words,clean_text
1988 Bersatu,BERSATU BERSATU BERSATU BERSATU MENENTANG MUSUH NEGARA PERTAHANKAN MARUAH BANGSA ERATKAN PERPADUAN MALAYSIA TERCINTA TEGUHKAN CINTA NEGARA BERSATU. BERSATU MALAYSIA PASTI BERJAYA BERSATU KITA SEMUA DI KOTA DAN DI DESA TEGUHKAN CINTA NEGARA MALAYSIA KITA RAKYAT MALAYSIA PASTI BERJAYA,1988 United,BERSATU BERSATU BERSATU BERSATU AGAINST THE ENEMIES OF THE NATION DEFEND THE DIGNITY OF THE NATION STRENGTHEN THE UNITY OF BELOVED MALAYSIA STRENGTHEN THE LOVE OF THE UNITED NATION. UNITED MALAYSIA WILL BE SUCCESSFUL UNITE ALL OF US IN THE CITY AND IN THE VILLAGE STRENGTHEN THE LOVE OF THE NATION OF MALAYSIA WE THE PEOPLE OF MALAYSIA WILL BE SUCCESSFUL,BERSATU BERSATU BERSATU BERSATU AGAINST THE ENEMIES OF THE NATION DEFEND THE DIGNITY OF THE NATION STRENGTHEN THE UNITY OF BELOVED MALAYSIA STRENGTHEN THE LOVE OF THE UNITED NATION UNITED MALAYSIA WILL BE SUCCESSFUL UNITE ALL OF US IN THE CITY AND IN THE VILLAGE STRENGTHEN THE LOVE OF THE NATION OF MALAYSIA WE THE PEOPLE OF MALAYSIA WILL BE SUCCESSFUL,"['bersatu', 'bersatu', 'bersatu', 'bersatu', 'against', 'the', 'enemies', 'of', 'the', 'nation', 'defend', 'the', 'dignity', 'of', 'the', 'nation', 'strengthen', 'the', 'unity', 'of', 'beloved', 'malaysia', 'strengthen', 'the', 'love', 'of', 'the', 'united', 'nation', 'united', 'malaysia', 'will', 'be', 'successful', 'unite', 'all', 'of', 'us', 'in', 'the', 'city', 'and', 'in', 'the', 'village', 'strengthen', 'the', 'love', 'of', 'the', 'nation', 'of', 'malaysia', 'we', 'the', 'people', 'of', 'malaysia', 'will', 'be', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'against', 'enemies', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'will', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'will', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'enemies', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'enemy', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'successful']",bersatu bersatu bersatu bersatu enemy nation defend dignity nation strengthen unity beloved malaysia strengthen love united nation united malaysia successful unite city village strengthen love nation malaysia people malaysia successful
1989 Bersatu,BERSATU BERSATU BERSATU BERSATU MENENTANG MUSUH NEGARA PERTAHANKAN MARUAH BANGSA ERATKAN PERPADUAN MALAYSIA TERCINTA TEGUHKAN CINTA NEGARA BERSATU. BERSATU MALAYSIA PASTI BERJAYA BERSATU KITA SEMUA DI KOTA DAN DI DESA TEGUHKAN CINTA NEGARA MALAYSIA KITA RAKYAT MALAYSIA PASTI BERJAYA,1989 United,BERSATU BERSATU BERSATU BERSATU AGAINST THE ENEMIES OF THE NATION DEFEND THE DIGNITY OF THE NATION STRENGTHEN THE UNITY OF BELOVED MALAYSIA STRENGTHEN THE LOVE OF THE UNITED NATION. UNITED MALAYSIA WILL BE SUCCESSFUL UNITE ALL OF US IN THE CITY AND IN THE VILLAGE STRENGTHEN THE LOVE OF THE NATION OF MALAYSIA WE THE PEOPLE OF MALAYSIA WILL BE SUCCESSFUL,BERSATU BERSATU BERSATU BERSATU AGAINST THE ENEMIES OF THE NATION DEFEND THE DIGNITY OF THE NATION STRENGTHEN THE UNITY OF BELOVED MALAYSIA STRENGTHEN THE LOVE OF THE UNITED NATION UNITED MALAYSIA WILL BE SUCCESSFUL UNITE ALL OF US IN THE CITY AND IN THE VILLAGE STRENGTHEN THE LOVE OF THE NATION OF MALAYSIA WE THE PEOPLE OF MALAYSIA WILL BE SUCCESSFUL,"['bersatu', 'bersatu', 'bersatu', 'bersatu', 'against', 'the', 'enemies', 'of', 'the', 'nation', 'defend', 'the', 'dignity', 'of', 'the', 'nation', 'strengthen', 'the', 'unity', 'of', 'beloved', 'malaysia', 'strengthen', 'the', 'love', 'of', 'the', 'united', 'nation', 'united', 'malaysia', 'will', 'be', 'successful', 'unite', 'all', 'of', 'us', 'in', 'the', 'city', 'and', 'in', 'the', 'village', 'strengthen', 'the', 'love', 'of', 'the', 'nation', 'of', 'malaysia', 'we', 'the', 'people', 'of', 'malaysia', 'will', 'be', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'against', 'enemies', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'will', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'will', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'enemies', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'successful']","['bersatu', 'bersatu', 'bersatu', 'bersatu', 'enemy', 'nation', 'defend', 'dignity', 'nation', 'strengthen', 'unity', 'beloved', 'malaysia', 'strengthen', 'love', 'united', 'nation', 'united', 'malaysia', 'successful', 'unite', 'city', 'village', 'strengthen', 'love', 'nation', 'malaysia', 'people', 'malaysia', 'successful']",bersatu bersatu bersatu bersatu enemy nation defend dignity nation strengthen unity beloved malaysia strengthen love united nation united malaysia successful unite city village strengthen love nation malaysia people malaysia successful
1990 Berjaya,MALAYSIA KITA SUDAH BERJAYAAMAN MAKMUR BAHAGIAMALAYSIA ABADI SELAMANYABERJAYA DAN BERJAYABERBAGAI KAUM SUDAH BERIKRARMENJUNJUNG CITA-CITASATU BANGSA SATU BAHASAMALAYSIA BERJAYADARI PERLIS SAMPAILAH KE SABAHKITA SUDAH MERDEKANEGARA MAKMUR RAKYAT MEWAHKITA SUDAH BERJAYADENGAR SEMBOYAN KITA BERJAYAGEMURUH DI ANGKASASATU BANGSA SATU NEGARAMALAYSIA BERJAYA,1990 Successful,Malaysia we have succeeded in prosperity and diverse diversification and diverse races have pledged to visit the ambitions of a nation of Malaysians and we have heard of our country's prosperity in the country,Malaysia we have succeeded in prosperity and diverse diversification and diverse races have pledged to visit the ambitions of a nation of Malaysians and we have heard of our countrys prosperity in the country,"['malaysia', 'we', 'have', 'succeeded', 'in', 'prosperity', 'and', 'diverse', 'diversification', 'and', 'diverse', 'races', 'have', 'pledged', 'to', 'visit', 'the', 'ambitions', 'of', 'a', 'nation', 'of', 'malaysians', 'and', 'we', 'have', 'heard', 'of', 'our', 'countrys', 'prosperity', 'in', 'the', 'country']","['malaysia', 'have', 'succeeded', 'prosperity', 'diverse', 'diversification', 'diverse', 'races', 'have', 'pledged', 'visit', 'ambitions', 'nation', 'malaysians', 'have', 'heard', 'countrys', 'prosperity', 'country']","['malaysia', 'succeeded', 'prosperity', 'diverse', 'diversification', 'diverse', 'races', 'pledged', 'visit', 'ambitions', 'nation', 'malaysians', 'heard', 'countrys', 'prosperity', 'country']","['malaysia', 'succeeded', 'prosperity', 'diverse', 'diversification', 'diverse', 'race', 'pledged', 'visit', 'ambition', 'nation', 'malaysian', 'heard', 'country', 'prosperity', 'country']",malaysia succeeded prosperity diverse diversification diverse race pledged visit ambition nation malaysian heard country prosperity country
1991 Wawasan 2020,BENDERA BERKIBAR DI ANGKASALAMBANG NEGARA JAYARAKYAT SEPAKAT SEHATI SEJIWADENGAN BERBAKTI DENGAN MEGAHHADAPI CABARAN MASA MUKAPENUH TENAGA MURNIBAKTI DICURAH SEARAH SEHALADENGAN WAWASAN YANG SUCIWAWASAN MENINGKAT KEMAJUANTIADA LAGI KEPINCANGANKEMEWAHAN RATA DIRASAIBERSAMA KITA NIKMATIWAWASAN 2020SATU PANDANGAN JAUHBUKAN IMPIAN MALAH KENYATAANBERSAMA KITA JAYAKAN,1991 Insights 2020,Flag flags in the country of the country of the people of the world as a result of being devoted to the challenge of the pouring energy of the poured energy as well as the sacred vision Improvements.,Flag flags in the country of the country of the people of the world as a result of being devoted to the challenge of the pouring energy of the poured energy as well as the sacred vision Improvements,"['flag', 'flags', 'in', 'the', 'country', 'of', 'the', 'country', 'of', 'the', 'people', 'of', 'the', 'world', 'as', 'a', 'result', 'of', 'being', 'devoted', 'to', 'the', 'challenge', 'of', 'the', 'pouring', 'energy', 'of', 'the', 'poured', 'energy', 'as', 'well', 'as', 'the', 'sacred', 'vision', 'improvements']","['flag', 'flags', 'country', 'country', 'people', 'world', 'result', 'being', 'devoted', 'challenge', 'pouring', 'energy', 'poured', 'energy', 'well', 'sacred', 'vision', 'improvements']","['flag', 'flags', 'country', 'country', 'people', 'world', 'result', 'devoted', 'challenge', 'pouring', 'energy', 'poured', 'energy', 'well', 'sacred', 'vision', 'improvements']","['flag', 'flag', 'country', 'country', 'people', 'world', 'result', 'devoted', 'challenge', 'pouring', 'energy', 'poured', 'energy', 'well', 'sacred', 'vision', 'improvement']",flag flag country country people world result devoted challenge pouring energy poured energy well sacred vision improvement
1993 Bersatu Menuju Wawasan,MURNINYA SEBUAH WAWASAN MEMBINA BUDAYA YANG GEMILANG BANGUNKAN NUSA MAJUKANLAH BANGSA MENUJU PUNCAK JAYA MARILAH MENYAHUT SERUAN BERBEKAL SEMANGAT KEGIGIHAN BERGANDING BAHU KITA BERSATUKE ARAH ERA BARU~ KORUS TINGKATKANLAH KEMAJUANDI DALAM BERBAGAI BIDANG SUPAYA KITA TIDAK KETINGGALAN TEGUH TABAH DAN BERANI BERUSAHA BERDIKARI ITULAH SIKAP MULIA YANG TERPUJI BERSATU MENUJU WAWASAN BERSAMA MENGEJAR KEMAKMURAN SEPANJANG MASA AMAN SENTOSA MALAYSIA YANG TERCINTA,1993 United Towards Vision,It is a vision of building a glorious culture to develop the nation to the Peak of Jaya Let's respond to the excitement of the spirit of persistence in the works of the new era ~ Corus enhance the development in various fields so that we do not miss out on the courage and dare to be self -reliant. TOWARDS A COMMON VISION TO PURSUIT PROSPERITY FOR A PEACEFUL TIME BELOVED SENTOSA MALAYSIA,It is a vision of building a glorious culture to develop the nation to the Peak of Jaya Lets respond to the excitement of the spirit of persistence in the works of the new era  Corus enhance the development in various fields so that we do not miss out on the courage and dare to be self reliant TOWARDS A COMMON VISION TO PURSUIT PROSPERITY FOR A PEACEFUL TIME BELOVED SENTOSA MALAYSIA,"['it', 'is', 'a', 'vision', 'of', 'building', 'a', 'glorious', 'culture', 'to', 'develop', 'the', 'nation', 'to', 'the', 'peak', 'of', 'jaya', 'lets', 'respond', 'to', 'the', 'excitement', 'of', 'the', 'spirit', 'of', 'persistence', 'in', 'the', 'works', 'of', 'the', 'new', 'era', 'corus', 'enhance', 'the', 'development', 'in', 'various', 'fields', 'so', 'that', 'we', 'do', 'not', 'miss', 'out', 'on', 'the', 'courage', 'and', 'dare', 'to', 'be', 'self', 'reliant', 'towards', 'a', 'common', 'vision', 'to', 'pursuit', 'prosperity', 'for', 'a', 'peaceful', 'time', 'beloved', 'sentosa', 'malaysia']","['vision', 'building', 'glorious', 'culture', 'develop', 'nation', 'peak', 'jaya', 'lets', 'respond', 'excitement', 'spirit', 'persistence', 'works', 'corus', 'enhance', 'development', 'various', 'fields', 'that', 'miss', 'courage', 'dare', 'self', 'reliant', 'towards', 'common', 'vision', 'pursuit', 'prosperity', 'peaceful', 'time', 'beloved', 'sentosa', 'malaysia']","['vision', 'building', 'glorious', 'culture', 'develop', 'nation', 'peak', 'jaya', 'lets', 'respond', 'excitement', 'spirit', 'persistence', 'works', 'corus', 'enhance', 'development', 'various', 'fields', 'miss', 'courage', 'dare', 'self', 'reliant', 'towards', 'common', 'vision', 'pursuit', 'prosperity', 'peaceful', 'time', 'beloved', 'sentosa', 'malaysia']","['vision', 'building', 'glorious', 'culture', 'develop', 'nation', 'peak', 'jaya', 'let', 'respond', 'excitement', 'spirit', 'persistence', 'work', 'corus', 'enhance', 'development', 'various', 'field', 'miss', 'courage', 'dare', 'self', 'reliant', 'towards', 'common', 'vision', 'pursuit', 'prosperity', 'peaceful', 'time', 'beloved', 'sentosa', 'malaysia']",vision building glorious culture develop nation peak jaya let respond excitement spirit persistence work corus enhance development various field miss courage dare self reliant towards common vision pursuit prosperity peaceful time beloved sentosa malaysia
1994 Nilai Murni Jayakan Wawasan,NILAI MURNI JAYAKAN WAWASAN BUKTINYA BANGSA BERHEMAH MULIA BERHATI NURANI TUNAIKAN URUSAN RAJIN BERUSAHAKESETIAAN MENJADI LANDASAN PENENTU KE ARAH KEBAHAGIAAN BERANI PERKASA HADAPI DUGAAN PENUH KETABAHAN SIKAP YANG TULUS SERTA IKHLAS ASAS BAGI SEGALA PERSIMPANGAN DISIPLIN DAN SIKAP TEGAS MEMBAWA KEMULIAANNILAI MURNI JAYAKAN WAWASAN AMAL SIKAP BERSIH DAN AMANAH MARILAH DENGAN TEKUN KITA REBUTKAN KHIDMAT YANG MENYERLAH,1994 Pure Values ​​Achieve Insights,The value of the vision of the vision of the prudent nation is the conscience of the conscience of the business of the Endless Entertainment of the Endless Entertainment of the Divine and the Basic Sincere of Discipline and the Discipline of Discipline WITH DILIGENCE WE GET EXCELLENT SERVICE,The value of the vision of the vision of the prudent nation is the conscience of the conscience of the business of the Endless Entertainment of the Endless Entertainment of the Divine and the Basic Sincere of Discipline and the Discipline of Discipline WITH DILIGENCE WE GET EXCELLENT SERVICE,"['the', 'value', 'of', 'the', 'vision', 'of', 'the', 'vision', 'of', 'the', 'prudent', 'nation', 'is', 'the', 'conscience', 'of', 'the', 'conscience', 'of', 'the', 'business', 'of', 'the', 'endless', 'entertainment', 'of', 'the', 'endless', 'entertainment', 'of', 'the', 'divine', 'and', 'the', 'basic', 'sincere', 'of', 'discipline', 'and', 'the', 'discipline', 'of', 'discipline', 'with', 'diligence', 'we', 'get', 'excellent', 'service']","['value', 'vision', 'vision', 'prudent', 'nation', 'conscience', 'conscience', 'business', 'endless', 'entertainment', 'endless', 'entertainment', 'divine', 'basic', 'sincere', 'discipline', 'discipline', 'discipline', 'with', 'diligence', 'excellent', 'service']","['value', 'vision', 'vision', 'prudent', 'nation', 'conscience', 'conscience', 'business', 'endless', 'entertainment', 'endless', 'entertainment', 'divine', 'basic', 'sincere', 'discipline', 'discipline', 'discipline', 'diligence', 'excellent', 'service']","['value', 'vision', 'vision', 'prudent', 'nation', 'conscience', 'conscience', 'business', 'endless', 'entertainment', 'endless', 'entertainment', 'divine', 'basic', 'sincere', 'discipline', 'discipline', 'discipline', 'diligence', 'excellent', 'service']",value vision vision prudent nation conscience conscience business endless entertainment endless entertainment divine basic sincere discipline discipline discipline diligence excellent service
1995 Jatidiri Penggerak Wawasan,VISI WAWASAN SUMBER KESEJAHTERAAN MAJULAH KE HADAPAN MASA DEPAN CEMERLANG TEGUH KITA BINA TAMADUN ABADI INDUSTRI MAJU TEKNOLOGI MAJU JATI DIRI PENGGERAK WAWASAN WAWASAN NYAWA BANGSA KE ARAH KEMAJUAN UNTUK SEMUA AYUH RAKAN BARISAN BERGANDINGAN JATI DIRI MARA KE HADAPAN WAWASAN JADI KENYATAAN JATI DIRI MARA KE HADAPAN WAWASAN JADI KENYATAAN,1995 Identity of Insight Driver,VISION VISITORS SOURCE SOURCE SOURCE ABOUT THE FUTURE OF THE FUTURE WE CAN DO FACTS,VISION VISITORS SOURCE SOURCE SOURCE ABOUT THE FUTURE OF THE FUTURE WE CAN DO FACTS,"['vision', 'visitors', 'source', 'source', 'source', 'about', 'the', 'future', 'of', 'the', 'future', 'we', 'can', 'do', 'facts']","['vision', 'visitors', 'source', 'source', 'source', 'about', 'future', 'future', 'facts']","['vision', 'visitors', 'source', 'source', 'source', 'future', 'future', 'facts']","['vision', 'visitor', 'source', 'source', 'source', 'future', 'future', 'fact']",vision visitor source source source future future fact
1996 Budaya Penentu Kecapaian,KE ARAH BUDAYA MURNI ITULAH SATU WAWASAN KITA WUJUDKAN SATU BANGSA BEBAS DAN MERDEKA LANGKAH SEHALA SEIRINGAN GEMBELINGKAN TENAGA MENGEJAR DETIK MASA MENYAHUT SERUAN BUDAYA MURNI JADI PEGANGAN MEMBINA BANGSA BERETIKA SINARKAN OBOR API MULIA TEGAKKAN PERTIWI BINA SEMANGAT BUDAYA PENENTU KECAPAIAN,1996 Culture of Achievement,TOWARDS A PURE CULTURE THAT IS OUR VISION TO CREATE AN INDEPENDENT NATION,TOWARDS A PURE CULTURE THAT IS OUR VISION TO CREATE AN INDEPENDENT NATION,"['towards', 'a', 'pure', 'culture', 'that', 'is', 'our', 'vision', 'to', 'create', 'an', 'independent', 'nation']","['towards', 'pure', 'culture', 'that', 'vision', 'create', 'independent', 'nation']","['towards', 'pure', 'culture', 'vision', 'create', 'independent', 'nation']","['towards', 'pure', 'culture', 'vision', 'create', 'independent', 'nation']",towards pure culture vision create independent nation
1997 Akhlak Mulia Masyarakat Berjaya,BERBEKALKAN ILTIZAM YANG PADU KITA BANGUN DENGAN SEMANGAT BARU MENJUNJUNG TINGGI MATLAMAT BANGSA SEIRING JALAN SAMA TEMPUHI MENGORAK LANGKAH BERGANDING BAHU MENUJU MATLAMAT NEGARA BERDISIPLIN DAN BERHARMONI KITA BINA NEGARA WARISAN IBUNDA MELANGKAH MAJU KE HADAPAN SEMANGAT PERJUANGAN JADI PEGANGAN INILAH SUMPAH TAAT SETIA KAMI RAKYAT MALAYSIA MENDUKUNG BAHASA JIWA BANGSA CITA DAN HARAPAN TERLAKSANA PUTRA DAN PUTRI NEGARA JAYA AMALKAN SEMANGAT BERSATU AKHLAK MULIA MASYARAKAT JAYA KEMEGAHAN RAKYAT MALAYSIA AKHLAK MULIA MASYARAKAT JAYA KEMEGAHAN RAKYAT MALAYSIA,1997 The Noble Morals of a Successful Society,Armed with a solid commitment we wake up with a new spirit of upholding the goal of the nation along the way as we take steps to work towards the goals of the disciplined and harmonious country to build a mother of the mother of the mother of the mother of the world. NATION'S DESIRE AND HOPE FULFILLED SONS AND PRINCESSES OF NEGARA JAYA PRACTICE THE SPIRIT OF UNITY THE NOBLE MORALS OF THE JAYA SOCIETY THE GLORY OF THE PEOPLE OF MALAYSIA THE NOBLE MORALS OF THE JAYA SOCIETY THE GLORY OF THE PEOPLE OF MALAYSIA,Armed with a solid commitment we wake up with a new spirit of upholding the goal of the nation along the way as we take steps to work towards the goals of the disciplined and harmonious country to build a mother of the mother of the mother of the mother of the world NATIONS DESIRE AND HOPE FULFILLED SONS AND PRINCESSES OF NEGARA JAYA PRACTICE THE SPIRIT OF UNITY THE NOBLE MORALS OF THE JAYA SOCIETY THE GLORY OF THE PEOPLE OF MALAYSIA THE NOBLE MORALS OF THE JAYA SOCIETY THE GLORY OF THE PEOPLE OF MALAYSIA,"['armed', 'with', 'a', 'solid', 'commitment', 'we', 'wake', 'up', 'with', 'a', 'new', 'spirit', 'of', 'upholding', 'the', 'goal', 'of', 'the', 'nation', 'along', 'the', 'way', 'as', 'we', 'take', 'steps', 'to', 'work', 'towards', 'the', 'goals', 'of', 'the', 'disciplined', 'and', 'harmonious', 'country', 'to', 'build', 'a', 'mother', 'of', 'the', 'mother', 'of', 'the', 'mother', 'of', 'the', 'mother', 'of', 'the', 'world', 'nations', 'desire', 'and', 'hope', 'fulfilled', 'sons', 'and', 'princesses', 'of', 'negara', 'jaya', 'practice', 'the', 'spirit', 'of', 'unity', 'the', 'noble', 'morals', 'of', 'the', 'jaya', 'society', 'the', 'glory', 'of', 'the', 'people', 'of', 'malaysia', 'the', 'noble', 'morals', 'of', 'the', 'jaya', 'society', 'the', 'glory', 'of', 'the', 'people', 'of', 'malaysia']","['armed', 'with', 'solid', 'commitment', 'wake', 'with', 'spirit', 'upholding', 'goal', 'nation', 'along', 'take', 'steps', 'work', 'towards', 'goals', 'disciplined', 'harmonious', 'country', 'build', 'mother', 'mother', 'mother', 'mother', 'world', 'nations', 'desire', 'hope', 'fulfilled', 'sons', 'princesses', 'negara', 'jaya', 'practice', 'spirit', 'unity', 'noble', 'morals', 'jaya', 'society', 'glory', 'people', 'malaysia', 'noble', 'morals', 'jaya', 'society', 'glory', 'people', 'malaysia']","['armed', 'solid', 'commitment', 'wake', 'spirit', 'upholding', 'goal', 'nation', 'along', 'take', 'steps', 'work', 'towards', 'goals', 'disciplined', 'harmonious', 'country', 'build', 'mother', 'mother', 'mother', 'mother', 'world', 'nations', 'desire', 'hope', 'fulfilled', 'sons', 'princesses', 'negara', 'jaya', 'practice', 'spirit', 'unity', 'noble', 'morals', 'jaya', 'society', 'glory', 'people', 'malaysia', 'noble', 'morals', 'jaya', 'society', 'glory', 'people', 'malaysia']","['armed', 'solid', 'commitment', 'wake', 'spirit', 'upholding', 'goal', 'nation', 'along', 'take', 'step', 'work', 'towards', 'goal', 'disciplined', 'harmonious', 'country', 'build', 'mother', 'mother', 'mother', 'mother', 'world', 'nation', 'desire', 'hope', 'fulfilled', 'son', 'princess', 'negara', 'jaya', 'practice', 'spirit', 'unity', 'noble', 'moral', 'jaya', 'society', 'glory', 'people', 'malaysia', 'noble', 'moral', 'jaya', 'society', 'glory', 'people', 'malaysia']",armed solid commitment wake spirit upholding goal nation along take step work towards goal disciplined harmonious country build mother mother mother mother world nation desire hope fulfilled son princess negara jaya practice spirit unity noble moral jaya society glory people malaysia noble moral jaya society glory people malaysia
1998 Negara Kita Tanggungjawab Kita,MENDUKUNG CITA-CITA NEGARA ITULAH TEKAD KITA BERSATU BERKERJASAMA SEHALA SEIRINGAN GERAK MESRA KITA UTAMAKAN MENYAHUT SATU CABARAN EKONOMI KITA TEGUHKAN PRODUKTIVITI DITINGKATKAN MARUAH BANGSA PERLU DIJAGA TAAT SETIA PADA NEGERA KETAHANAN DIRI DIKEKALKAN LAHIR BANGSA BERETIKA WALAU DI KOTA JUGA DI DESA SEMAIKAN SEMANGAT BERSATU NEGARA KITA TANGGUNGJAWAB KITA RAKYAT MALAYSIA NEGARA KITA TANGGUNGJAWAB KITA RAKYAT MALAYSIA,1998 Our Country Our Responsibility,Supporting the country's ambitions is that our determination is united in one way in line with our friendly moves to respond to an economic challenge We strengthen productivity enhanced the dignity of the nation needs to be loyal to the country of self-defense maintained the birth of an ethical nation even in the city as well WE ARE THE PEOPLE OF MALAYSIA OUR COUNTRY OUR RESPONSIBILITY WE ARE THE PEOPLE OF MALAYSIA,Supporting the countrys ambitions is that our determination is united in one way in line with our friendly moves to respond to an economic challenge We strengthen productivity enhanced the dignity of the nation needs to be loyal to the country of selfdefense maintained the birth of an ethical nation even in the city as well WE ARE THE PEOPLE OF MALAYSIA OUR COUNTRY OUR RESPONSIBILITY WE ARE THE PEOPLE OF MALAYSIA,"['supporting', 'the', 'countrys', 'ambitions', 'is', 'that', 'our', 'determination', 'is', 'united', 'in', 'one', 'way', 'in', 'line', 'with', 'our', 'friendly', 'moves', 'to', 'respond', 'to', 'an', 'economic', 'challenge', 'we', 'strengthen', 'productivity', 'enhanced', 'the', 'dignity', 'of', 'the', 'nation', 'needs', 'to', 'be', 'loyal', 'to', 'the', 'country', 'of', 'selfdefense', 'maintained', 'the', 'birth', 'of', 'an', 'ethical', 'nation', 'even', 'in', 'the', 'city', 'as', 'well', 'we', 'are', 'the', 'people', 'of', 'malaysia', 'our', 'country', 'our', 'responsibility', 'we', 'are', 'the', 'people', 'of', 'malaysia']","['supporting', 'countrys', 'ambitions', 'that', 'determination', 'united', 'line', 'with', 'friendly', 'moves', 'respond', 'economic', 'challenge', 'strengthen', 'productivity', 'enhanced', 'dignity', 'nation', 'needs', 'loyal', 'country', 'selfdefense', 'maintained', 'birth', 'ethical', 'nation', 'even', 'city', 'well', 'people', 'malaysia', 'country', 'responsibility', 'people', 'malaysia']","['supporting', 'countrys', 'ambitions', 'determination', 'united', 'line', 'friendly', 'moves', 'respond', 'economic', 'challenge', 'strengthen', 'productivity', 'enhanced', 'dignity', 'nation', 'needs', 'loyal', 'country', 'selfdefense', 'maintained', 'birth', 'ethical', 'nation', 'even', 'city', 'well', 'people', 'malaysia', 'country', 'responsibility', 'people', 'malaysia']","['supporting', 'country', 'ambition', 'determination', 'united', 'line', 'friendly', 'move', 'respond', 'economic', 'challenge', 'strengthen', 'productivity', 'enhanced', 'dignity', 'nation', 'need', 'loyal', 'country', 'selfdefense', 'maintained', 'birth', 'ethical', 'nation', 'even', 'city', 'well', 'people', 'malaysia', 'country', 'responsibility', 'people', 'malaysia']",supporting country ambition determination united line friendly move respond economic challenge strengthen productivity enhanced dignity nation need loyal country selfdefense maintained birth ethical nation even city well people malaysia country responsibility people malaysia
