Tittle,Lyrics
1988 Bersatu,BERSATU BERSATU BERSATU BERSATU MENENTANG MUSUH NEGARA PERTAHANKAN MARUAH BANGSA ERATKAN PERPADUAN MALAYSIA TERCINTA TEGUHKAN CINTA NEGARA BERSATU. BERSATU MALAYSIA PASTI BERJAYA BERSATU KITA SEMUA DI KOTA DAN DI DESA TEGUHKAN CINTA NEGARA MALAYSIA KITA RAKYAT MALAYSIA PASTI BERJAYA
1989 Bersatu,BERSATU BERSATU BERSATU BERSATU MENENTANG MUSUH NEGARA PERTAHANKAN MARUAH BANGSA ERATKAN PERPADUAN MALAYSIA TERCINTA TEGUHKAN CINTA NEGARA BERSATU. BERSATU MALAYSIA PASTI BERJAYA BERSATU KITA SEMUA DI KOTA DAN DI DESA TEGUHKAN CINTA NEGARA MALAYSIA KITA RAKYAT MALAYSIA PASTI BERJAYA
1990 Berjaya,MALAYSIA KITA SUDAH BERJAYAAMAN MAKMUR BAHAGIAMALAYSIA ABADI SELAMANYABERJAYA DAN BERJAYABERBAGAI KAUM SUDAH BERIKRARMENJUNJUNG CITA-CITASATU BANGSA SATU BAHASAMALAYSIA BERJAYADARI PERLIS SAMPAILAH KE SABAHKITA SUDAH MERDEKANEGARA MAKMUR RAKYAT MEWAHKITA SUDAH BERJAYADENGAR SEMBOYAN KITA BERJAYAGEMURUH DI ANGKASASATU BANGSA SATU NEGARAMALAYSIA BERJAYA
1991 Wawasan 2020,BENDERA BERKIBAR DI ANGKASALAMBANG NEGARA JAYARAKYAT SEPAKAT SEHATI SEJIWADENGAN BERBAKTI DENGAN MEGAHHADAPI CABARAN MASA MUKAPENUH TENAGA MURNIBAKTI DICURAH SEARAH SEHALADENGAN WAWASAN YANG SUCIWAWASAN MENINGKAT KEMAJUANTIADA LAGI KEPINCANGANKEMEWAHAN RATA DIRASAIBERSAMA KITA NIKMATIWAWASAN 2020SATU PANDANGAN JAUHBUKAN IMPIAN MALAH KENYATAANBERSAMA KITA JAYAKAN
1993 Bersatu Menuju Wawasan,MURNINYA SEBUAH WAWASAN MEMBINA BUDAYA YANG GEMILANG BANGUNKAN NUSA MAJUKANLAH BANGSA MENUJU PUNCAK JAYA MARILAH MENYAHUT SERUAN BERBEKAL SEMANGAT KEGIGIHAN BERGANDING BAHU KITA BERSATUKE ARAH ERA BARU~ KORUS TINGKATKANLAH KEMAJUANDI DALAM BERBAGAI BIDANG SUPAYA KITA TIDAK KETINGGALAN TEGUH TABAH DAN BERANI BERUSAHA BERDIKARI ITULAH SIKAP MULIA YANG TERPUJI BERSATU MENUJU WAWASAN BERSAMA MENGEJAR KEMAKMURAN SEPANJANG MASA AMAN SENTOSA MALAYSIA YANG TERCINTA
1994 Nilai Murni Jayakan Wawasan,NILAI MURNI JAYAKAN WAWASAN BUKTINYA BANGSA BERHEMAH MULIA BERHATI NURANI TUNAIKAN URUSAN RAJIN BERUSAHAKESETIAAN MENJADI LANDASAN PENENTU KE ARAH KEBAHAGIAAN BERANI PERKASA HADAPI DUGAAN PENUH KETABAHAN SIKAP YANG TULUS SERTA IKHLAS ASAS BAGI SEGALA PERSIMPANGAN DISIPLIN DAN SIKAP TEGAS MEMBAWA KEMULIAANNILAI MURNI JAYAKAN WAWASAN AMAL SIKAP BERSIH DAN AMANAH MARILAH DENGAN TEKUN KITA REBUTKAN KHIDMAT YANG MENYERLAH
1995 Jatidiri Penggerak Wawasan,VISI WAWASAN SUMBER KESEJAHTERAAN MAJULAH KE HADAPAN MASA DEPAN CEMERLANG TEGUH KITA BINA TAMADUN ABADI INDUSTRI MAJU TEKNOLOGI MAJU JATI DIRI PENGGERAK WAWASAN WAWASAN NYAWA BANGSA KE ARAH KEMAJUAN UNTUK SEMUA AYUH RAKAN BARISAN BERGANDINGAN JATI DIRI MARA KE HADAPAN WAWASAN JADI KENYATAAN JATI DIRI MARA KE HADAPAN WAWASAN JADI KENYATAAN
1996 Budaya Penentu Kecapaian,KE ARAH BUDAYA MURNI ITULAH SATU WAWASAN KITA WUJUDKAN SATU BANGSA BEBAS DAN MERDEKA LANGKAH SEHALA SEIRINGAN GEMBELINGKAN TENAGA MENGEJAR DETIK MASA MENYAHUT SERUAN BUDAYA MURNI JADI PEGANGAN MEMBINA BANGSA BERETIKA SINARKAN OBOR API MULIA TEGAKKAN PERTIWI BINA SEMANGAT BUDAYA PENENTU KECAPAIAN
1997 Akhlak Mulia Masyarakat Berjaya,BERBEKALKAN ILTIZAM YANG PADU KITA BANGUN DENGAN SEMANGAT BARU MENJUNJUNG TINGGI MATLAMAT BANGSA SEIRING JALAN SAMA TEMPUHI MENGORAK LANGKAH BERGANDING BAHU MENUJU MATLAMAT NEGARA BERDISIPLIN DAN BERHARMONI KITA BINA NEGARA WARISAN IBUNDA MELANGKAH MAJU KE HADAPAN SEMANGAT PERJUANGAN JADI PEGANGAN INILAH SUMPAH TAAT SETIA KAMI RAKYAT MALAYSIA MENDUKUNG BAHASA JIWA BANGSA CITA DAN HARAPAN TERLAKSANA PUTRA DAN PUTRI NEGARA JAYA AMALKAN SEMANGAT BERSATU AKHLAK MULIA MASYARAKAT JAYA KEMEGAHAN RAKYAT MALAYSIA AKHLAK MULIA MASYARAKAT JAYA KEMEGAHAN RAKYAT MALAYSIA
1998 Negara Kita Tanggungjawab Kita,MENDUKUNG CITA-CITA NEGARA ITULAH TEKAD KITA BERSATU BERKERJASAMA SEHALA SEIRINGAN GERAK MESRA KITA UTAMAKAN MENYAHUT SATU CABARAN EKONOMI KITA TEGUHKAN PRODUKTIVITI DITINGKATKAN MARUAH BANGSA PERLU DIJAGA TAAT SETIA PADA NEGERA KETAHANAN DIRI DIKEKALKAN LAHIR BANGSA BERETIKA WALAU DI KOTA JUGA DI DESA SEMAIKAN SEMANGAT BERSATU NEGARA KITA TANGGUNGJAWAB KITA RAKYAT MALAYSIA NEGARA KITA TANGGUNGJAWAB KITA RAKYAT MALAYSIA
